time,valence
0.0,-0.27
0.03333333333333333,-0.32
0.06666666666666667,-0.24
0.1,-0.32
0.13333333333333333,-0.27
0.16666666666666666,-0.35
0.2,-0.23
0.23333333333333334,-0.14
0.26666666666666666,-0.15999999999999998
0.3,-0.15
0.3333333333333333,-0.13000000000000003
0.36666666666666664,-0.04000000000000001
0.4,-0.05
0.43333333333333335,0.06
0.4666666666666667,0.07
0.5,0.039999999999999994
0.5333333333333333,0.06999999999999998
0.5666666666666667,0.05
0.6,0.0
0.6333333333333333,0.15
0.6666666666666666,-0.07999999999999999
0.7,0.44
0.7333333333333333,0.68
0.7666666666666667,0.72
0.8,0.8200000000000001
0.8333333333333334,0.78
0.8666666666666667,0.93
0.9,0.91
0.9333333333333333,0.9
0.9666666666666667,0.92
1.0,0.9
1.0333333333333334,0.67
1.0666666666666667,0.83
1.1,0.71
1.1333333333333333,0.73
1.1666666666666667,0.58
1.2,0.55
1.2333333333333334,0.55
1.2666666666666666,0.3
1.3,0.5599999999999999
1.3333333333333333,0.47
1.3666666666666667,0.37
1.4,0.25
1.4333333333333333,0.42
1.4666666666666666,0.27999999999999997
1.5,0.32
1.5333333333333334,0.38
1.5666666666666667,0.33999999999999997
1.6,0.44
1.6333333333333333,0.020000000000000004
1.6666666666666667,0.53
1.7,0.12
1.7333333333333334,0.21
1.7666666666666666,0.43
1.8,0.39
1.8333333333333333,0.16000000000000003
1.8666666666666667,0.039999999999999994
1.9,0.039999999999999994
1.9333333333333333,0.039999999999999994
1.9666666666666666,0.060000000000000005
2.0,0.2
2.033333333333333,0.27
2.066666666666667,0.57
2.1,0.26999999999999996
2.1333333333333333,0.43
2.1666666666666665,0.19
2.2,0.25
2.2333333333333334,0.4
2.2666666666666666,0.4700000000000001
2.3,0.31
2.3333333333333335,0.7
2.3666666666666667,0.45999999999999996
2.4,0.9
2.433333333333333,0.67
2.466666666666667,0.73
2.5,0.62
2.533333333333333,0.89
2.566666666666667,0.88
2.6,0.78
2.6333333333333333,0.85
2.6666666666666665,0.83
2.7,0.45999999999999996
2.7333333333333334,0.36000000000000004
2.7666666666666666,0.43
2.8,0.46
2.8333333333333335,0.47
2.8666666666666667,0.65
2.9,0.78
2.933333333333333,0.87
2.966666666666667,0.91
3.0,0.88
3.033333333333333,0.95
3.066666666666667,0.75
3.1,0.41000000000000003
3.1333333333333333,0.31
3.1666666666666665,0.85
3.2,0.9400000000000001
3.2333333333333334,0.84
3.2666666666666666,0.92
3.3,0.87
3.3333333333333335,0.92
3.3666666666666667,0.28
3.4,0.7
3.433333333333333,0.53
3.466666666666667,0.73
3.5,0.32
3.533333333333333,0.6900000000000001
3.566666666666667,0.89
3.6,0.83
3.6333333333333333,0.88
3.6666666666666665,0.87
3.7,0.8099999999999999
3.7333333333333334,0.85
3.7666666666666666,0.85
3.8,0.83
3.8333333333333335,0.92
3.8666666666666667,0.72
3.9,0.91
3.933333333333333,0.84
3.966666666666667,0.61
4.0,0.64
4.033333333333333,0.44
4.066666666666666,0.13
4.1,0.06999999999999999
4.133333333333334,0.0
4.166666666666667,-0.15
4.2,0.23000000000000004
4.233333333333333,0.04999999999999999
4.266666666666667,0.42000000000000004
4.3,0.6799999999999999
4.333333333333333,0.6100000000000001
4.366666666666666,0.45999999999999996
4.4,0.26000000000000006
4.433333333333334,0.07
4.466666666666667,0.07999999999999999
4.5,0.14
4.533333333333333,0.13
4.566666666666666,-0.13
