time,valence,comfort,saccade,frown,mouth_open,jaw,happy,surprise,neutral,sad,angry,fear,disgust
0.0,-0.62,0.7574562889055712,0.0,0.07431537825514402,0.2829681621102238,0.9140668596235929,0.01,0.0,0.37,0.42,0.18,0.02,0.01
0.2,-0.22,0.5104972915010352,0.2381800202751254,0.06653956191637996,0.1324979349535778,0.9401943930788942,0.02,0.01,0.72,0.04,0.21,0.0,0.0
0.4,-0.42,0.6003940619643109,0.3112031647444437,0.10683984782702105,0.1662135314956911,0.9254968257891091,0.02,0.02,0.51,0.26,0.18,0.02,0.0
0.6,-0.61,0.46915537584312234,0.32661913920535446,0.12711288038788848,0.26063887594974466,0.9498920832810742,0.01,0.03,0.31,0.33,0.28,0.04,0.0
0.8,-0.08999999999999998,0.3614518349664255,0.6229096847131973,0.21897051531270167,0.5455823400123956,0.977938932312151,0.0,0.08,0.75,0.05,0.11,0.01,0.0
1.0,-0.07999999999999999,0.40112269253189636,0.4831665839249702,0.2833674828850429,0.3029194507207424,0.947918938123109,0.0,0.02,0.88,0.03,0.06,0.01,0.0
1.2,0.009999999999999998,0.28822871596696276,0.28040883810269635,0.29086281073481063,0.2211217535361325,0.9578309464422163,0.01,0.02,0.95,0.0,0.01,0.01,0.0
1.4,0.039999999999999994,0.6890210744737348,0.6316920399125213,0.15242626295336192,0.12659789028145915,0.9050599520833974,0.02,0.04,0.92,0.0,0.02,0.0,0.0
1.6,0.08000000000000003,1.0,0.4485387797549331,0.0912169204165039,0.1658748731185605,0.8533720052811004,0.01,0.14,0.78,0.01,0.04,0.02,0.0
1.8,-0.06999999999999999,1.0,0.24000673663230063,0.08635011680141065,0.1981594840816711,0.834923188982474,0.0,0.05,0.83,0.01,0.05,0.06,0.0
2.0,-0.05999999999999999,1.0,0.4030931265913747,0.20076221574274022,0.1829691165111047,0.8425226166194371,0.0,0.01,0.91,0.01,0.04,0.02,0.0
2.2,0.010000000000000002,0.8989447468180805,0.6187899265088406,0.3646275309864736,0.2830408197256809,0.8650299288157878,0.02,0.02,0.92,0.01,0.01,0.01,0.0
2.4,-0.030000000000000013,0.5904643454982461,0.406592590307403,0.2021721628964575,0.14965005814148613,0.916500284080619,0.06,0.01,0.83,0.04,0.03,0.03,0.0
2.6,0.38,0.3209999193091282,0.7727946890394188,0.42343067628495185,0.3219224958752953,0.947582594162772,0.42,0.01,0.53,0.02,0.02,0.01,0.0
2.8,0.81,0.24873942824947362,0.4138706240529195,0.432475726488639,1.0,1.0,0.8,0.01,0.18,0.0,0.0,0.0,0.0
3.0,0.38,0.0,0.33465867495763707,0.3762692104127086,0.20709144484286432,0.9985266561476813,0.45,0.02,0.45,0.04,0.03,0.02,0.0
3.2,-0.3899999999999999,0.71955866094022,1.0,0.12642901380434896,0.08248979175896401,0.8998116587482549,0.23,0.07,0.02,0.34,0.17,0.18,0.0
3.4,-0.79,1.0,1.0,0.033645485439270324,0.11010214860268028,0.7769484561791762,0.04,0.03,0.06,0.34,0.05,0.47,0.0
3.6,-0.6199999999999999,0.9205595601110368,0.2051854289274454,0.26039181709073606,0.05362624614737619,0.8550010775691236,0.11,0.03,0.09,0.1,0.41,0.25,0.0
3.8,-0.5599999999999999,1.0,0.3015793496873627,0.3007127409504003,0.04348127265355161,0.820092684447484,0.12,0.0,0.19,0.19,0.33,0.16,0.0
4.0,-0.8000000000000002,1.0,0.5705051339572632,0.43702639424824147,0.22109835532098532,0.8242079196345433,0.06,0.01,0.07,0.2,0.62,0.05,0.0
4.2,-0.7000000000000001,1.0,0.9223939695552504,0.17816741391676955,0.2651067035578529,0.8492423124866623,0.12,0.01,0.03,0.04,0.77,0.02,0.0
4.4,-0.3400000000000001,0.5424892832244044,0.8626253655240808,0.1977406323880341,0.22970643552514092,0.929928400699881,0.09,0.13,0.21,0.2,0.26,0.1,0.0
4.6,0.08000000000000002,0.42181057636363073,0.3775230342736856,0.1892340450361325,0.2666928562478318,0.951312111296371,0.29,0.07,0.36,0.08,0.18,0.02,0.0
4.8,0.26,0.06046257473060991,0.44568697729931867,0.24106156356478936,0.22836904280672704,0.9968418447821543,0.39,0.03,0.41,0.04,0.09,0.03,0.0
5.0,0.27999999999999997,0.0,0.21014941838209247,0.22038515290937874,0.2225219519899415,1.0,0.41,0.03,0.39,0.06,0.09,0.01,0.0
5.2,0.16000000000000003,0.0,0.3441163829821799,0.2006308833398657,0.4428666384861853,1.0,0.28,0.02,0.56,0.06,0.07,0.01,0.0
5.4,-0.22,0.0,0.40954380978212224,0.10880139107281132,0.037902645568455066,1.0,0.01,0.01,0.73,0.13,0.09,0.02,0.0
5.6,-0.11000000000000001,0.0,0.1738888984927457,0.08930321968890362,0.3860828647789443,1.0,0.04,0.03,0.76,0.04,0.11,0.03,0.0
5.8,0.04999999999999999,0.0,0.305129897968437,0.060633356141394014,1.0,1.0,0.09,0.01,0.86,0.03,0.01,0.01,0.0
6.0,0.28,0.26819540682447773,1.0,0.09746646661614754,0.7649110513772477,1.0,0.38,0.01,0.49,0.05,0.03,0.03,0.0
6.2,-0.1,0.277520711118617,0.7546616684178521,0.3732298033747552,0.8630911936199236,0.9988297657967171,0.15,0.01,0.58,0.06,0.12,0.08,0.0
6.4,-0.18999999999999997,0.3192033010506243,0.21830676711783786,0.40247283905195297,0.6033488387558191,0.9706589359627423,0.09,0.0,0.63,0.11,0.12,0.05,0.0
6.6,-0.35000000000000003,0.658268066153712,0.8004090521502862,0.2895119631623869,0.42588076577432293,0.9184135074570589,0.06,0.0,0.52,0.22,0.13,0.06,0.0
6.8,-0.15999999999999998,0.3855535396857213,0.5645415937328948,0.20419186763494934,0.246474335390632,0.9537257588376433,0.05,0.0,0.75,0.15,0.05,0.01,0.0
7.0,-0.26,0.7546305696781674,0.28329297641479,0.07894484545647115,0.8453097815930563,0.9555568284514002,0.03,0.04,0.61,0.2,0.05,0.08,0.0
7.2,-0.06,0.412453574282471,0.07864175134730568,0.08014841311995702,0.42923902539045056,0.9752698670405229,0.02,0.0,0.89,0.05,0.02,0.01,0.0
7.4,-0.030000000000000002,0.4759719387800632,0.12069416973268306,0.13731553191405543,0.3366227324127782,0.953506485125734,0.01,0.01,0.93,0.02,0.02,0.01,0.0
7.6,-0.05,0.40665041729367213,0.1758288135895924,0.13006785945256535,0.2384672198702572,0.9572026315555094,0.02,0.03,0.86,0.04,0.03,0.03,0.0
7.8,-1.3877787807814457e-17,0.6162805004261964,0.1477741334423082,0.07360899754539744,0.9695235168995161,0.9856843908764733,0.08,0.04,0.76,0.05,0.04,0.03,0.0
8.0,-0.030000000000000006,0.25166916545758544,0.11636639280789739,0.09743175733824498,0.17478343566460652,0.9785597001459496,0.04,0.0,0.89,0.03,0.03,0.01,0.0
8.2,0.0,0.0377035636498637,0.5372296801933885,0.48612595115147594,0.22594178585645655,0.9762709426910582,0.08,0.0,0.84,0.03,0.04,0.01,0.0
8.4,0.0,0.0,0.23177725979082037,0.82640351655642,0.2348441909774638,0.9500089262086311,0.11,0.01,0.77,0.03,0.06,0.03,0.0
8.6,0.009999999999999995,0.0,0.13780230493269038,0.7135420780576018,0.24177498860106722,0.9800933885966131,0.09,0.0,0.83,0.02,0.05,0.01,0.0
8.8,-0.12000000000000001,0.0,0.16038298962280043,0.5152057594136725,0.270658237972779,0.9873625644725749,0.02,0.0,0.84,0.04,0.07,0.03,0.0
9.0,-0.029999999999999992,0.0,0.17768453386920444,0.5029468176939272,0.24174296999086578,0.9932268973674048,0.05,0.01,0.86,0.03,0.05,0.01,0.0
9.2,-0.04000000000000001,0.0,0.07102392076047791,0.38967168212605424,0.22707598354859207,0.9994593991444743,0.03,0.0,0.9,0.03,0.04,0.0,0.0
9.4,6.938893903907228e-18,0.0,0.08647999816600349,0.3908677450808044,0.1755802064646192,1.0,0.05,0.01,0.88,0.02,0.04,0.0,0.0
9.6,-0.16000000000000003,0.0,0.09879987083917302,0.2930072812560333,0.24427367168178704,1.0,0.06,0.01,0.7,0.04,0.18,0.01,0.0
9.8,-0.030000000000000013,0.0,0.02229100087608637,0.2855663625445993,0.26202306509845297,1.0,0.09,0.02,0.76,0.03,0.1,0.01,0.0
10.0,-0.020000000000000004,0.030052394903216973,0.007104631196156134,0.27844251777724804,0.27306332819291,1.0,0.07,0.02,0.81,0.04,0.05,0.02,0.0
10.2,0.07,0.1074251542928247,0.004017939564564791,0.27346971015126326,0.4014468717356032,0.999542053013073,0.11,0.02,0.81,0.02,0.03,0.01,0.0
10.4,-0.07000000000000002,0.06505967708510307,0.004448885703745739,0.2831779889894668,0.24977840966641873,0.9936611711588537,0.06,0.01,0.78,0.05,0.08,0.01,0.0
10.6,0.09,0.06728713905068223,0.008547418002118407,0.2865907552870206,0.2494126586191177,0.992974298415846,0.15,0.03,0.75,0.03,0.04,0.02,0.0
10.8,0.13999999999999999,0.07583630918107584,0.03049195881663009,0.30696603950441176,0.233740780410522,0.9885791857727396,0.18,0.02,0.74,0.02,0.03,0.01,0.0
11.0,-0.009999999999999981,0.027131274569246626,0.01728772637861122,0.29437407633452034,0.21168611540677054,0.9953666232594434,0.07,0.04,0.78,0.04,0.06,0.02,0.0
11.2,0.01999999999999999,0.02190021647434271,0.016856393361713785,0.28659450764138844,0.22308227766846667,0.9977349430190914,0.08,0.01,0.84,0.02,0.04,0.01,0.0
11.4,0.010000000000000009,0.03726287208662671,0.0032413951125955477,0.2867399113731424,0.2274368086558621,0.9957728001912697,0.07,0.02,0.85,0.03,0.04,0.01,0.0
11.6,0.03,0.13826987077335356,0.08806846207231853,0.29386563231767754,0.2251844225766918,0.9799937311268836,0.08,0.0,0.87,0.03,0.01,0.01,0.0
11.8,-0.04,0.09387019577722654,0.04493115912033306,0.2741282483428198,0.2730842634380417,0.9920029108710283,0.03,0.01,0.89,0.03,0.04,0.01,0.0
12.0,-0.09,0.068739697834536,0.029883882860758767,0.2544349545317842,0.23883666537258147,0.9950956567815292,0.02,0.0,0.87,0.06,0.04,0.01,0.0
12.2,-0.09,0.10021837005547561,0.014579160757089767,0.22851650482449598,0.25046680978574964,0.9938162039926938,0.02,0.01,0.85,0.04,0.07,0.01,0.0
12.4,-0.049999999999999996,0.07163065910901108,0.0070813067991980765,0.233245409416571,0.24775507979868946,0.9973809589591854,0.03,0.01,0.86,0.03,0.05,0.01,0.0
12.6,-0.020000000000000004,0.07065633684001085,0.006553412594116295,0.21444423785649025,0.2540085606680317,0.9998090186436621,0.04,0.02,0.86,0.03,0.04,0.01,0.0
