time_5fps,valence_score,comfort_score,engagement_score
0.0,-0.333,0.762595835156524,0.24675701977419
0.2,-0.07300000000000002,0.6245155038011092,0.3658470299117527
0.4,-0.203,0.5933308392028235,0.4023586021464119
0.6,-0.3265,0.609410142986415,0.41006658937686724
0.8,0.011500000000000003,0.5488196735246292,0.5582118621307887
1.0,0.018000000000000002,0.5125989567807218,0.48834031173667514
1.2,0.07649999999999998,0.566914147599318,0.38696143882553824
1.4,0.09599999999999999,0.4395746722334206,0.5626030397304507
1.6,0.12200000000000001,0.5429818739086437,0.4710264096516566
1.8,0.024499999999999994,0.637540115531158,0.36676038809034034
2.0,0.031,0.5334248195939595,0.4483035830698774
2.2,0.0765,0.42800801601822597,0.5561519830286104
2.4,0.05049999999999998,0.5216063324505474,0.4500533149278916
2.6,0.317,0.36042967026133554,0.6331543642938995
2.8,0.5965,0.7047090324322405,0.45369233180064983
3.0,0.317,0.5153832003459919,0.4140863572530086
3.2,-0.18349999999999994,0.2868182333863845,0.7467570197741901
3.4,-0.44350000000000006,0.32293699894902295,0.7467570197741901
3.6,-0.3329999999999999,0.5558961571460139,0.3493497342379127
3.8,-0.294,0.5021988196360003,0.3975466946178714
4.0,-0.4500000000000001,0.40701953473891783,0.5320095867528216
4.2,-0.38500000000000006,0.35712419907022486,0.7079540045518152
4.4,-0.15100000000000008,0.3645395947314997,0.6780697025362304
4.6,0.122,0.5722284296540355,0.4355185369110328
4.8,0.239,0.5179174528528538,0.46960050842384937
5.0,0.252,0.6165812723713319,0.3518317289652363
5.2,0.17400000000000002,0.635024173351024,0.41881521126528
5.4,-0.07300000000000002,0.5149128524358443,0.4515289246652512
5.6,-0.0015000000000000152,0.719478334129914,0.33370146902056286
5.8,0.10249999999999998,0.859758033970207,0.39932196875840853
6.0,0.252,0.50023337542833,0.7467570197741901
6.2,0.0049999999999999906,0.5450937497064097,0.6240878539831161
6.4,-0.05349999999999999,0.6729400930640248,0.35591040333310897
6.6,-0.15750000000000003,0.4207470199234663,0.6469615458493332
6.8,-0.03399999999999999,0.48686810283354687,0.5290278166406375
7.0,-0.09900000000000002,0.8165922902750595,0.38840350798158507
7.2,0.030999999999999993,0.7732704831422259,0.28607789544784284
7.4,0.05049999999999999,0.7115144922565435,0.30710410464053156
7.6,0.03749999999999999,0.6621882826894705,0.33467142656898624
7.8,0.06999999999999998,0.9096647024293124,0.32064408649534415
8.0,0.05049999999999999,0.6766589463747494,0.3049402161781387
8.2,0.06999999999999999,0.4070528783341388,0.5153718598708843
8.4,0.06999999999999999,0.42982129840998506,0.3626456496696002
8.6,0.07649999999999998,0.5033489511899635,0.3156581722405352
8.8,-0.008000000000000021,0.5624825477186118,0.32694851458559027
9.0,0.050499999999999996,0.5505650321413997,0.33559928670879224
9.2,0.043999999999999984,0.6228117221225702,0.282268980154429
9.4,0.06999999999999999,0.600821739148743,0.28999701885719176
9.6,-0.03400000000000003,0.6458599687920569,0.29615695519377655
9.8,0.05049999999999998,0.6840206104157216,0.2579025202122332
10.0,0.05699999999999999,0.6955443906462361,0.25030933537226807
10.2,0.11549999999999999,0.736785972649476,0.24876598955647244
10.4,0.02449999999999998,0.6882005719215873,0.2489814626260629
10.6,0.1285,0.6854276037987818,0.25103072877524923
10.8,0.16099999999999998,0.665835638745181,0.2620029991825051
11.0,0.0635,0.6682785211702307,0.2554008829634956
11.2,0.08299999999999999,0.674203773663438,0.25518521645504694
11.4,0.0765,0.6809125111397777,0.2483777173304878
11.6,0.0895,0.6441682522487768,0.2907912508103493
11.8,0.04399999999999999,0.6817143408804334,0.26922259933435655
12.0,0.011499999999999996,0.6833669601079357,0.2616989612045694
12.2,0.011499999999999996,0.7007534271855402,0.2540466001527349
12.4,0.03749999999999999,0.7015203783949564,0.25029767317378904
12.6,0.05699999999999999,0.7092479318058159,0.2500337260712482
12.8,0.04399999999999999,0.7077607971752211,0.2562654211544916
13.0,0.04399999999999999,0.7183415492747874,0.24739854270461026
13.2,0.08299999999999999,0.7054403912454029,0.30522312855194483
13.4,0.03749999999999999,0.29791336064088764,0.6741175386930822
13.6,0.1285,0.29122061651255615,0.6150404568238479
13.8,0.1285,0.20240401692633742,0.7467570197741901
14.0,0.20650000000000002,0.12259898579259602,0.7161240171067264
14.2,0.23249999999999998,0.24493148028949946,0.6929786144729743
14.4,0.187,0.1808995993308223,0.6789049929932583
14.6,-0.02100000000000002,0.37419323152492645,0.5475403016781731
14.8,0.161,0.3677055099291061,0.590647410447251
15.0,0.38200000000000006,0.38311923596552,0.5608457759272775
15.2,0.2,0.3977234987026347,0.567106289822119
15.4,0.239,0.43155471092167785,0.5450060308725144
15.6,0.1545,0.40824677860544234,0.5613556238333091
15.8,0.21950000000000003,0.44406357229862736,0.5065759170968364
16.0,0.1155,0.47306643792646774,0.4621962746577615
