time_5fps,valence_score,comfort_score,engagement_score
0.0,0.65,0.9347654066160328,0.23414217590665357
0.2,0.6435,0.6949836075299659,0.45875074003783833
0.4,0.5005000000000001,0.8834067422672524,0.2812607818472748
0.6,0.5655,0.8228481566142802,0.2892365154518103
0.8,0.6174999999999999,0.8243236191646885,0.32299153423884364
1.0,0.624,0.7691381200712389,0.3769346090285903
1.2,0.6174999999999999,0.7163867407601754,0.429538424191602
1.4,-0.013000000000000003,0.4634069125969983,0.5002195817545207
1.6,-0.15600000000000003,0.2359430904437838,0.7341421759066535
1.8,-0.06500000000000003,0.5145798447132338,0.5650148585574908
2.0,-9.020562075079397e-18,0.5946871194216865,0.33791124337399553
2.2,-0.1365,0.5071657446114177,0.4282614490402227
2.4,-0.13,0.4228944601920674,0.40904936722944013
2.6,-0.14950000000000002,0.6428658113085639,0.30753471202907023
2.8,-0.195,0.6797883666856227,0.26671813303354
3.0,-0.18850000000000003,0.30495229593993595,0.6941614675695829
3.2,-0.065,0.7811138268882498,0.31177854734654237
3.4,0.006499999999999997,0.632578330533375,0.3027724140218341
3.6,-0.07150000000000001,0.651795214445669,0.25597353390677635
3.8,-0.07150000000000001,0.6762666814256229,0.2621477249274292
4.0,-0.13,0.7186012545303969,0.28567493133484223
4.2,-0.30550000000000005,0.6552576307807403,0.27531141961665073
4.4,0.032499999999999994,0.5344172239450679,0.42401636885841076
4.6,-0.10400000000000001,0.5965238341686423,0.35056840473216144
4.8,-0.13000000000000003,0.5905586372607021,0.3794985557905368
5.0,-0.14950000000000002,0.6741409584662607,0.35400814696233307
5.2,-0.12350000000000004,0.4783364984144814,0.33742623296340263
