time,valence,comfort,saccade,frown,mouth_open,jaw,happy,surprise,neutral,sad,angry,fear,disgust
3.0,1.0,0.9764678755439047,0.2554744332045849,0.044992407056211645,0.772689801714546,0.9410020652448359,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2,1.0,0.9690734814877937,0.17357214632639034,0.027406282134000592,0.7834597694365067,0.9446032871770051,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4,1.0,0.9485200863814705,0.021508670755767817,0.05452264423510587,0.7865293164499649,0.9454112652980583,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,1.0,0.9889506003935469,0.4791451240794071,0.059788051661805265,0.8030256659953517,0.941047470901512,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8,0.88,0.5566971199480014,0.4396674170087471,0.03078720934688043,0.4878349284710575,0.9714906371602972,0.86,0.05,0.06,0.01,0.0,0.02,0.0
4.0,0.3,0.4528735661959347,0.03263769765760556,0.0075980262279516575,0.10574081157730562,0.9495810812715091,0.35,0.01,0.58,0.03,0.01,0.02,0.0
4.2,0.99,0.8817688144572312,0.02754171536248417,0.0468238531176723,0.7766955378072449,0.9542693858787907,0.99,0.0,0.01,0.0,0.0,0.0,0.0
4.4,1.0,0.6558589425636201,0.10598085257254788,0.04372312300975532,0.8981482422784505,0.9977401854820317,0.97,0.03,0.0,0.0,0.0,0.0,0.0
4.6,0.94,0.7092897228697846,0.028460044679320153,0.06258913880889447,0.652274947049176,0.9642071604963146,0.54,0.42,0.02,0.01,0.0,0.01,0.0
4.8,0.78,0.6559592541108928,0.05061708305432118,0.03809973505463335,0.4555280599537307,0.9539838381180245,0.78,0.06,0.09,0.01,0.01,0.04,0.0
5.0,0.5800000000000001,0.49949418453450045,0.031957143252524106,0.03280604274667587,0.20517865810572078,0.9509428719596336,0.6,0.04,0.29,0.02,0.01,0.03,0.0
5.2,0.46,0.5550811119446831,0.04606715850061718,0.030221511721718837,0.24273698594760465,0.9472722149998928,0.48,0.02,0.46,0.01,0.01,0.02,0.0
5.4,0.7899999999999999,0.745517623981008,0.3353059866069526,0.061420619651920055,0.35903533984801567,0.9300255699037178,0.84,0.0,0.12,0.04,0.0,0.01,0.0
5.6,0.99,1.0,0.11854261121453274,0.01283780048101092,0.5295188610235657,0.9140509654163609,0.99,0.0,0.01,0.0,0.0,0.0,0.0
5.8,0.99,1.0,0.7614247312944333,0.10470974651487171,0.7626800134556316,0.8731044625960442,0.99,0.0,0.01,0.0,0.0,0.0,0.0
6.0,1.0,1.0,0.5961800842296474,0.020594045263499963,0.8481478553607598,0.8522825958018233,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,1.0,1.0,0.07852420557252013,0.10643247256399663,0.8930318248145943,0.8709060404676285,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,1.0,1.0,0.5533005524976191,0.17803034605358947,0.8586295314699883,0.9161867747360712,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,1.0,1.0,0.056399428567602015,0.1266623499812988,0.7422249648701497,0.9256327431757743,1.0,0.0,0.0,0.0,0.0,0.0,0.0
